age_days,sex,meanCT2,meanCT2u750,meanCT2l250,TCV,TCVu750,TCVl250,WMV,WMVu750,WMVl250,sGMV,sGMVu750,sGMVl250,GMV,GMVu750,GMVl250
2495.85,Female,2.860331021867228e-4,2.908600934523686e-4,2.81086442671446e-4,93.31874844219594,98.56082114813867,88.17916671888364,36.92489164074877,39.636668663156016,34.32622768050172,5.576885652497337,5.845234694970964,5.312198603092028,56.30071363019711,59.71733185627343,52.872388132378845
2501.9375,Female,2.8598985175495856e-4,2.908155726909451e-4,2.81044507689762e-4,93.34574840084676,98.59042951392628,88.20363034001522,36.94962605903557,39.66272469900896,34.34967579054438,5.578963494193486,5.847406449919851,5.314183730778324,56.300149113778346,59.71603735512644,52.87255799811201
2508.025,Female,2.8594668478807285e-4,2.9077114851444667e-4,2.8100264242935367e-4,93.37256112100535,98.61983778597477,88.22791929010107,36.97428019190921,39.68869702798656,34.37304699990884,5.58102955320728,5.849566016103486,5.316157478509838,56.29950096189815,59.714657505841934,52.87264593729852
2514.1125,Female,2.8590360104397176e-4,2.9072682056983495e-4,2.8096084676471013e-4,93.39918792012325,98.64904735352788,88.25203481609812,36.99885440563757,39.71458602993667,34.3963416611992,5.583083903492141,5.851713469757425,5.3181199179713845,56.298770024370775,59.713193190190886,52.87265276774621
2520.2,Female,2.85860600280958e-4,2.9068258850566077e-4,2.80919120569459e-4,93.42563010411322,98.67805959377695,88.27597815393132,37.02334906407626,39.74039208221501,34.41956012468976,5.5851266184027555,5.853848886501081,5.32007112026639,56.297957141913244,59.71164528043111,52.87257929858279
2526.2875,Female,2.858176822577434e-4,2.9063845197206033e-4,2.8087746371639554e-4,93.45188896747558,98.70687587199198,88.29975052861475,37.04776452868991,39.76611555970671,34.44270273834529,5.587157770701183,5.8559723413439775,5.322011155922847,56.297063146264314,59.710014639432394,52.87242633036826
2532.375,Female,2.857748467334569e-4,2.905944106207479e-4,2.808358760775069e-4,93.47796579341644,98.73549754164438,88.32335315436539,37.07210115857305,39.79175683484816,34.465769847841656,5.589177432562758,5.8580839086918255,5.323940094899034,56.296088860291334,59.70830212078889,52.872194655196516
2538.4625,Female,2.8573209346765573e-4,2.905504641050118e-4,2.8079435752399994e-4,93.50386185397036,98.76392594453407,88.34678723472209,37.096359310471094,39.81731627764828,34.48876179658561,5.5911856755820395,5.860183662352643,5.325858006589296,56.29503509809485,59.70650856892899,52.8718850567944
2544.55,Female,2.856894222203331e-4,2.905066120797069e-4,2.807529079263246e-4,93.52957841011758,98.79216241091049,88.37005396265775,37.12053933880046,39.842794255709386,34.51167892573462,5.593182570778587,5.8622716755426945,5.327764959829676,56.29390266512251,59.70463481923524,52.871498310629775
2550.6375,Female,2.8564683275193037e-4,2.9046285420125206e-4,2.8071152715420175e-4,93.55511671190169,98.82020825959597,88.39315452069248,37.14464159566926,39.86819113424867,34.53452157421703,5.595168188602759,5.864348020892452,5.329661022903535,56.29269235826575,59.70268169814582,52.87103518400345
2556.725,Female,2.856043248233418e-4,2.904191901276202e-4,2.8067021507664335e-4,93.58047799854488,98.848064798104,88.41609008100552,37.16866643089713,39.89350727611826,34.55729007875082,5.597142598941363,5.866412770452393,5.331546263547032,56.2914049659688,59.70065002326926,52.87049643615229
2562.8125,Female,2.855618981959262e-4,2.903756195183353e-4,2.806289715619797e-4,93.60566349856246,98.87573332275873,88.43886180554478,37.19261419203509,39.91874304182614,34.57998477386328,5.599105871123277,5.868465995698803,5.3334207489546195,56.29004126833154,59.69854060349242,52.869882818346746
2568.9,Female,2.85519552631515e-4,2.9033214203446733e-4,2.8058779647788213e-4,93.63067442987477,98.90321511881073,88.46147084613487,37.216485224385345,39.943898789556066,34.6026059919099,5.601058073925002,5.870507767539475,5.335284545784412,56.2886020372055,59.6963542390816,52.869195073982546
2574.9875,Female,2.8547728789241853e-4,2.9028875733862333e-4,2.8054668969138403e-4,93.65551199992049,98.93051146055468,88.48391834458606,37.24027987102046,39.968974875187726,34.625154063092985,5.602999275576162,5.872538156319355,5.337137720163539,56.28708803629924,59.69409172179305,52.86843393867968
2581.075,Female,2.854351037414351e-4,2.9024546509494385e-4,2.805056510689046e-4,93.68017740576435,98.9576236114414,88.50620543279801,37.26399847280271,39.993971652316446,34.647629315480614,5.604929543764875,5.874557231826078,5.3389803376933695,56.28550002126742,59.69175383496674,52.86760014036799
2587.1625,Female,2.853929999418597e-4,2.9020226496909727e-4,2.8046468047627176e-4,93.70467183420631,98.98455282419087,88.52833323286512,37.287641368403186,40.0188894722728,34.67003207502468,5.6068489456431525,5.876565063295515,5.340812463454754,56.2838387398214,59.68934135364256,52.866694399391356
2593.25,Female,2.8535097625748785e-4,2.901591566282712e-4,2.8042377777874014e-4,93.72899646188974,99.01130034090406,88.55030285718033,37.31120889432019,40.043728684141875,34.6923626655792,5.608757547832146,5.878561719417174,5.342634162013123,56.28210493180946,59.68685504464455,52.86571742858422
2599.3375,Female,2.8530903245262655e-4,2.901161397411697e-4,2.8038294284101595e-4,93.75315245540723,99.03786739317395,88.57211540853702,37.33470138489831,40.06848963478272,34.71462140891851,5.61065541642742,5.880547268339613,5.344445497423618,56.28029932932202,59.68429566669151,52.864669933371175
2605.425,Female,2.8526716829209875e-4,2.9007321397800525e-4,2.803421755272748e-4,93.77714097140382,99.06425520219136,88.5937719802288,37.35811917234654,40.093172668846954,34.73680862475483,5.6125426170040775,5.882521777675702,5.346246533236052,56.278422656778325,59.681663970488074,52.86355261184965
2611.5125,Female,2.8522538354125155e-4,2.90030379010494e-4,2.803014757011835e-4,93.8009631566816,99.09046497885413,88.61527365614938,37.381462586756435,40.117778128797546,34.75892463075584,5.614419214621871,5.884485314507921,5.348037332499913,56.27647563102052,59.67896069882354,52.86236615487885
2617.6,Female,2.8518367796595974e-4,2.899876345118471e-4,2.8026084322591705e-4,93.82462014830136,99.11649792387293,88.63662151089135,37.404731956120386,40.14230635492778,34.78096974256244,5.616285273830252,5.8864379453934825,5.3498179577692255,56.27445896140286,59.676186586665615,52.86111124616472
